date,clade
4/6/22,21L (Omicron)
4/6/22,21L (Omicron)
4/19/22,21L (Omicron)
4/19/22,21L (Omicron)
1/14/22,21K (Omicron)
4/19/22,21L (Omicron)
4/19/22,22C (Omicron)
1/27/22,21K (Omicron)
1/4/22,21K (Omicron)
4/8/22,21L (Omicron)
1/12/22,21K (Omicron)
1/4/22,21K (Omicron)
4/7/22,21L (Omicron)
1/3/22,21K (Omicron)
1/24/22,21K (Omicron)
1/18/22,21K (Omicron)
1/4/22,21J (Delta)
1/14/22,21K (Omicron)
1/5/22,21K (Omicron)
4/8/22,21L (Omicron)
4/9/22,21L (Omicron)
4/9/22,21L (Omicron)
4/9/22,21L (Omicron)
4/8/22,21L (Omicron)
4/8/22,21L (Omicron)
4/6/22,21L (Omicron)
8/9/21,21J (Delta)
12/30/21,21K (Omicron)
5/2/21,20J (Gamma
4/28/21,20I (Alpha
4/26/21,20I (Alpha
4/14/21,20I (Alpha
4/30/21,20J (Gamma
4/25/21,20J (Gamma
4/28/21,20I (Alpha
4/26/21,20I (Alpha
4/26/21,20J (Gamma
4/29/21,20I (Alpha
4/26/21,20I (Alpha
4/27/21,20J (Gamma
4/27/21,20I (Alpha
5/3/21,20I (Alpha
4/26/21,20I (Alpha
4/26/21,20I (Alpha
4/26/21,20I (Alpha
4/29/21,20J (Gamma
4/26/21,20J (Gamma
4/26/21,20I (Alpha
4/26/21,20I (Alpha
4/26/21,20I (Alpha
4/26/21,20I (Alpha
4/29/21,20I (Alpha
4/28/21,20J (Gamma
4/26/21,20I (Alpha
4/22/21,20J (Gamma
4/28/21,20J (Gamma
4/14/21,20I (Alpha
4/26/21,20J (Gamma
4/30/21,20I (Alpha
4/26/21,20I (Alpha
4/26/21,21I (Delta)
4/27/21,20I (Alpha
4/26/21,20I (Alpha
4/25/21,20J (Gamma
4/26/21,20I (Alpha
4/26/21,20I (Alpha
4/27/21,20I (Alpha
4/26/21,20I (Alpha
4/29/21,20I (Alpha
4/29/21,20I (Alpha
4/26/21,20I (Alpha
4/25/21,20I (Alpha
4/25/21,20I (Alpha
4/29/21,20I (Alpha
4/29/21,20J (Gamma
4/30/21,20J (Gamma
4/26/21,20I (Alpha
4/26/21,20J (Gamma
4/28/21,20J (Gamma
4/26/21,20I (Alpha
4/26/21,20J (Gamma
4/26/21,20I (Alpha
4/26/21,20I (Alpha
4/27/21,20I (Alpha
4/26/21,20C
2/28/21,20I (Alpha
7/29/21,21J (Delta)
9/4/21,21J (Delta)
9/21/21,21J (Delta)
11/18/21,21J (Delta)
11/17/21,21J (Delta)
11/23/21,21J (Delta)
11/11/21,21J (Delta)
11/8/21,21J (Delta)
11/15/21,21J (Delta)
11/14/21,21J (Delta)
11/1/21,21J (Delta)
11/11/21,21J (Delta)
11/12/21,21J (Delta)
11/12/21,21J (Delta)
11/16/21,21J (Delta)
11/12/21,21J (Delta)
11/16/21,21J (Delta)
11/9/21,21J (Delta)
11/4/21,21J (Delta)
11/12/21,21J (Delta)
10/2/21,21J (Delta)
9/28/21,21J (Delta)
9/22/21,21J (Delta)
9/27/21,21J (Delta)
10/27/21,21J (Delta)
10/4/21,21J (Delta)
10/5/21,21J (Delta)
10/2/21,21J (Delta)
10/27/21,21J (Delta)
9/8/21,21J (Delta)
10/2/21,21J (Delta)
10/13/21,21I (Delta)
10/26/21,21J (Delta)
11/5/21,21J (Delta)
8/14/21,21J (Delta)
11/22/20,20G
9/8/21,21J (Delta)
9/10/21,21J (Delta)
9/8/21,21J (Delta)
11/8/21,21J (Delta)
11/5/21,21J (Delta)
11/11/21,21J (Delta)
11/19/21,21J (Delta)
11/14/21,21J (Delta)
11/11/21,21J (Delta)
11/15/21,21J (Delta)
11/13/21,21J (Delta)
11/12/21,21J (Delta)
11/13/21,21J (Delta)
11/1/21,21J (Delta)
10/26/21,21J (Delta)
11/3/21,21J (Delta)
11/9/21,21J (Delta)
11/12/21,21J (Delta)
11/16/21,21J (Delta)
11/10/21,21J (Delta)
11/12/21,21J (Delta)
11/15/21,21J (Delta)
11/15/21,21J (Delta)
11/12/21,21J (Delta)
11/14/21,21J (Delta)
10/4/21,21J (Delta)
10/1/21,21J (Delta)
9/30/21,21J (Delta)
9/30/20,20A
10/22/20,20C
9/27/21,21J (Delta)
10/11/21,21J (Delta)
5/2/20,20A
5/14/21,20J (Gamma
5/7/20,20B
5/7/20,20A
5/7/20,20B
5/7/20,20B
1/17/21,20A
3/31/20,20A
5/15/20,20C
10/27/20,20B
1/8/21,20B
7/28/21,21J (Delta)
5/16/22,21L (Omicron)
5/16/22,21L (Omicron)
5/14/22,22C (Omicron)
5/17/22,21L (Omicron)
5/23/22,22C (Omicron)
5/21/22,21L (Omicron)
5/23/22,22C (Omicron)
5/23/22,22C (Omicron)
5/13/22,22C (Omicron)
5/13/22,21L (Omicron)
5/12/22,22C (Omicron)
5/13/22,22C (Omicron)
5/13/22,22C (Omicron)
5/18/22,22C (Omicron)
5/12/22,21L (Omicron)
5/25/22,22C (Omicron)
5/9/22,22C (Omicron)
5/12/22,21L (Omicron)
5/12/22,21L (Omicron)
5/12/22,22C (Omicron)
5/18/22,21L (Omicron)
5/13/22,22C (Omicron)
5/11/22,22C (Omicron)
5/13/22,21K (Omicron)
5/11/22,22C (Omicron)
5/12/22,22C (Omicron)
5/25/22,22C (Omicron)
5/25/22,21L (Omicron)
5/18/22,22C (Omicron)
5/23/22,22C (Omicron)
5/11/22,22C (Omicron)
5/23/22,21L (Omicron)
5/11/22,22C (Omicron)
5/9/22,22C (Omicron)
5/24/22,22C (Omicron)
5/9/22,22C (Omicron)
5/25/22,21L (Omicron)
5/12/22,21K (Omicron)
5/9/22,21L (Omicron)
5/13/22,22C (Omicron)
5/25/22,21L (Omicron)
5/9/22,21L (Omicron)
5/11/22,21L (Omicron)
5/10/22,22C (Omicron)
5/10/22,21L (Omicron)
5/12/22,21L (Omicron)
5/13/22,21L (Omicron)
5/12/22,21L (Omicron)
5/10/22,21L (Omicron)
5/12/22,21L (Omicron)
5/12/22,21K (Omicron)
5/11/22,22C (Omicron)
5/13/22,22C (Omicron)
5/10/22,21L (Omicron)
5/11/22,22C (Omicron)
5/12/22,21L (Omicron)
5/12/22,21L (Omicron)
5/12/22,22C (Omicron)
5/11/22,21L (Omicron)
5/12/22,22C (Omicron)
5/11/22,21L (Omicron)
5/26/22,22B (Omicron)
5/11/22,22C (Omicron)
5/12/22,22C (Omicron)
5/13/22,22C (Omicron)
5/12/22,21L (Omicron)
5/14/22,22C (Omicron)
5/17/22,21L (Omicron)
5/13/22,22B (Omicron)
5/12/22,21L (Omicron)
5/23/22,22C (Omicron)
